Name,Artist,Price,Measurements
Once and Forever,Alla Chakir,950,81cm x 101cm
Rosehip Tea,Alla Chakir,600,70cm x 50cm
We Stay In Eden,Alla Chakir,800,50cm x 90cm
Abstract Figure VI,Andy Dobbie,300,29cm x 29cm
Abstract Figure VII 1920x1922,Andy Dobbie,300,29cm x 29cm
Absurdus Oil on Canvas on Panel,Andy Dobbie,1500,84cm x 59cm
Andy Dobbie Recling Nude III,Andy Dobbie,1000,60cm x 80cm
La Demoiselle dYnys Mon Acrylic on Linen,Andy Dobbie,1500,50cm x 1000cm
Self isolated 1920x1936,Andy Dobbie,1200,61cm x 61cm
The Space Between Us II 1920x1338,Andy Dobbie,1500,59cm x 83cm
Torso 3,Andy Dobbie,950,78cm x 67
A Little Mystery To Me,David Kereszteny Lewis,450,38cm x 30cm
Alltwen,David Kereszteny Lewis,350,36cm x 28cm
Blooms Of Gray,David Kereszteny Lewis,575,
Breakwaters,David Kereszteny Lewis,750,58cm x 47cm
But One Path,David Kereszteny Lewis,550,
By the Rivers,David Kereszteny Lewis,400,33cm x 33cm
Call It Intuition,David Kereszteny Lewis,375,40cm x 32cm
Colwyn Last Visit,David Kereszteny Lewis,375,35cm x 26cm
Confusions and Afflictions,David Kereszteny Lewis,850,70cm x 70cm
Days Noises Steal,David Kereszteny Lewis,450,
Deganwys Dazzling Light,David Kereszteny Lewis,550,
Don't Leave My Side,David Kereszteny Lewis,400,48cm x 48cm
Enclosure,David Kereszteny Lewis,300,28cm x 26cm
Finding Direction,David Kereszteny Lewis,650,
From Gogarth Quarry,David Kereszteny Lewis,950,70cm x 70cm
From The Changes,David Kereszteny Lewis,575,50cm x 40cm
Glorifying Hand,David Kereszteny Lewis,850,70cm x 70cm
Halfway Hoping,David Kereszteny Lewis,650,
Harbour At Night,David Kereszteny Lewis,550,
Hoping for Something,David Kereszteny Lewis,400,33cm x 33cm
Last Few Days,David Kereszteny Lewis,1000,80cm x 80cm
Left Colwyn,David Kereszteny Lewis,500,61cm x 37cm
Most Perfect Expression,David Kereszteny Lewis,1000,
Movement of the Tide,David Kereszteny Lewis,750,70cm x 70cm
On an Edge,David Kereszteny Lewis,1500,100cm x 100cm
Over the Flash,David Kereszteny Lewis,700,85cm x 60cm
Reminant,David Kereszteny Lewis,300,25cm x 27cm
Rhos Drawing,David Kereszteny Lewis,400,42cm x 36cm
Rhos Drawing 1,David Kereszteny Lewis,550,
Rules Explode,David Kereszteny Lewis,550,
Singing Prayers & Hymns,David Kereszteny Lewis,450,48cm x 48cm
So Windy,David Kereszteny Lewis,500,50cm x 50cm
Some Guilt Spilt,David Kereszteny Lewis,650,
Son Of The Soil,David Kereszteny Lewis,550,
Water Reflection,David Kereszteny Lewis,350,30cm x 22cm
Welcomed Many Summers,David Kereszteny Lewis,550,
Wind & The Rain,David Kereszteny Lewis,350,Wind and the Rain
Y Troi Dwy,Gareth Nash,750,
Y Troi Un,Gareth Nash,750,
May,Glen Farrelly,1800,
Sacred,Glen Farrelly,2000,
Torso,Jo-Anna Duncalf,350,70cm x 40cm
'Afon Dusk'. 74x74cm. Acrylic and mixed media on canvas,Jon Clayton,875,74cm x 74cm
"'After the Rain', 74x74cm, Acrylic and Mixed media on canvas",Jon Clayton,875,74cm x 74cm
'Descent into the Valley'. 54x54cm. mixed media on found slate from the place of drawing in mid Wales.,Jon Clayton,625,54cm x 54cm
'Foel Caerynwch - The Hill from Everywhere'. Acrylic and mixed media on canvas 74x74cm white wood frame.,Jon Clayton,875,74cm x 74cm
"'Mawddach, Looking Back' Acrylic and mixed media on canvas 74x74cm white wood frame.",Jon Clayton,875,74cm x 74cm
'Parting of the Ways'. 74x74cm. Mixed media on canvas,Jon Clayton,875,74cm x 74cm
Abstract1 259,Mfikela Jean Samuel,250,
AfricanFeel 400,Mfikela Jean Samuel,400,
AfricanFeel2 400,Mfikela Jean Samuel,400,
HeritageWithCobweb 450,Mfikela Jean Samuel,450,
Kinambo 500,Mfikela Jean Samuel,400,
NaturalMystic 500,Mfikela Jean Samuel,500,
Traveller2 400,Mfikela Jean Samuel,400,
Travellers1 300,Mfikela Jean Samuel,300,
BronzeHorse,Nick Elphick,POA,
DeerHead,Nick Elphick,POA,
Deers,Nick Elphick,POA,
Horse,Nick Elphick,POA,
Big Blue,Steve Page,"10,000",
Crow,Steve Page,4350,
Pony,Steve Page,5350,
Twrch,Steve Page,6000,
ST 1 Chalice,Steve Tootell,180,
ST 11 Steve Jar ST 11,Steve Tootell,450,
ST 12 - Bottle,Steve Tootell,240,
ST 13 Tall Blue Brown Jar,Steve Tootell,180,
ST 14 Tall Blue Jar,Steve Tootell,180,
ST 15 Tall Japanese Text,Steve Tootell,150,
ST 16 Steve Pitcher ST16,Steve Tootell,140,
ST 2 Jar,Steve Tootell,450,
ST 3 Shell Feet Shino Vase,Steve Tootell,120,
ST 7 Sod Sil Bottle,Steve Tootell,185,
ST 8 JAR,Steve Tootell,120,
Llyn Gwynant Wedding Day,Susan Cantrill Williams,800,
Llyn Gwynant Winter Colours,Susan Cantrill Williams,800,
Sound and Vision,Susan Cantrill Williams,600,
Tal y Fan,Susan Cantrill Williams,400,